02 17 48 -23 22 00 NGC 878 GALXY13.7
02 18 06 -04 13 00 NGC 880 GALXY
02 18 36 -06 35 00 NGC 881 GALXY12.4
02 19 00 -06 45 00 NGC 883 GALXY13.0
02 19 36 -16 04 00 NGC 887 GALXY13.0
02 19 48 -01 00 00 NGC 885 NONEX
02 20 42 -23 07 00 NGC 892 GALXY
02 21 30 -05 31 00 NGC 895 GALXY11.7
02 21 30 -05 30 00 NGC 894 NONEX
02 22 00 -20 48 00 NGC 899 GALXY12.6
02 22 24 -16 40 00 NGC 902 GALXY14.0
02 22 36 -08 43 00 NGC 905 GALXY
02 23 00 -20 42 00 NGC 907 GALXY12.6
02 23 06 -21 13 00 NGC 908 GALXY10.2
02 26 12 -00 18 59 NGC 926 GALXY13.3
02 26 36 -15 50 00 NGC 921 GALXY14.0
02 26 42 -14 30 00 NGC 944 GALXY14.0
02 27 18 -12 05 00 NGC 929 GALXY15.0
02 27 36 -00 14 00 NGC 934 GALXY13.1
02 27 42 -01 09 00 NGC 936 GALXY10.1
02 28 30 -01 08 00 NGC 941 GALXY12.4
02 28 36 -10 31 00 NGC 945 GALXY12.1
02 28 36 -19 03 00 NGC 947 GALXY12.6
02 28 42 -10 30 00 NGC 948 GALXY14.0
02 28 48 -22 20 00 NGC 951 GALXY14.6
02 29 00 -10 49 00 NGC 943 GALXY14.0
02 29 12 -10 49 00 NGC 942 GALXY14.0
02 29 12 -11 01 00 NGC 950 GALXY14.0
02 30 36 -01 06 00 NGC 955 GALXY12.0
02 30 36 -02 55 00 NGC 958 GALXY12.1
02 30 36 -04 13 00 NGC 963 GALXY
02 31 12 -06 54 00 NGC 961 NONEX
02 31 36 -09 17 00 NGC 960 GALXY14.0
02 31 48 -19 53 00 NGC 966 GALXY13.3
02 32 12 -17 13 00 NGC 967 GALXY12.5
02 32 30 -18 39 00 NGC 965 GALXY14.2
02 32 54 -10 57 00 NGC 981 GALXY14.0
02 33 00 -10 44 00 NGC 977 GALXY13.0
02 33 12 +09 37 00 NGC 975 GALXY13.1
02 33 48 -16 30 00 NGC 989 GALXY15.0
02 34 30 -08 46 00 NGC 985 GALXY13.4
02 35 12 -09 20 00 NGC 988 GALXY11.0
02 35 36 -07 08 00 NGC 991 GALXY11.7
02 36 42 +02 03 00 NGC 993 GALXY13.6
02 36 42 +02 03 00 NGC 994 NONEX
02 37 12 +07 18 01 NGC 997 GALXY14.5
02 37 12 +07 26 01 NGC 998 GALXY15.5
02 37 30 -11 02 00 NGC 1010 GALXY14.0
02 37 30 -11 02 00 NGC 1006 GALXY
02 37 36 +01 57 00 NGC 1004 GALXY12.7
02 37 36 -11 01 00 NGC 1011 GALXY15.0
02 37 48 -11 31 00 NGC 1013 GALXY14.0
02 37 48 -11 01 00 NGC 1017 GALXY14.0
02 37 48 +02 08 00 NGC 1007 GALXY15.5
02 37 48 -09 32 00 NGC 1014 2STAR
02 37 54 -01 51 00 UGC 2119 GALXY13.5
02 37 54 +02 04 00 NGC 1008 GALXY13.6
02 38 00 -01 51 00 NGC 1037 GALXY14.5
02 38 00 -09 34 00 NGC 1018 GALXY15.0
02 38 12 -01 20 00 NGC 1015 GALXY12.1
02 38 12 -15 49 00 NGC 1034 GALXY14.0
02 38 18 +02 07 00 NGC 1016 GALXY11.6
02 38 18 +02 18 00 NGC 1009 GALXY14.4
02 38 24 +01 54 00 NGC 1019 GALXY13.5
02 38 30 -06 40 00 NGC 1022 GALXY11.3
02 38 42 +02 13 00 NGC 1020 GALXY14.1
02 38 48 +02 12 00 NGC 1021 GALXY14.2
02 39 18 +06 32 00 NGC 1026 GALXY12.6
02 39 24 +01 05 00 NGC 1032 GALXY11.6
02 39 24 -08 07 00 NGC 1035 GALXY12.2
02 40 06 +01 30 00 NGC 1038 GALXY13.4
02 40 06 -08 48 00 NGC 1033 GALXY14.0
02 40 18 -05 28 00 NGC 1041 GALXY14.0
02 40 24 -08 27 00 NGC 1042 GALXY11.0
02 40 24 -11 18 00 NGC 1045 GALXY13.0
02 40 36 -08 33 00 NGC 1048B GALXY14.0
02 40 36 -08 33 00 NGC 1048A GALXY14.5
02 40 36 -08 10 00 NGC 1047 GALXY15.0
02 40 42 +01 20 00 NGC 1043 GALXY15.5
02 40 54 -06 57 59 NGC 1051 GALXY13.0
02 41 00 -08 15 00 NGC 1052 GALXY10.5
02 41 00 +08 43 00 NGC 1044 GALXY13.2
02 41 06 +08 42 00 NGC 1046 GALXY13.8
02 41 48 +00 26 00 NGC 1055 GALXY10.6
02 42 06 -05 34 00 NGC 1063 GALXY14.0
02 42 06 -15 06 00 NGC 1065 GALXY14.0
02 42 12 -09 22 00 NGC 1064 GALXY14.0
02 42 42 -00 02 00 NGC 1068 GALXY08.9
02 42 48 -08 18 00 NGC 1069 GALXY14.5
02 43 00 -08 46 00 NGC 1071 GALXY15.0
02 43 18 +04 58 00 NGC 1070 GALXY11.9
02 43 30 +00 18 00 NGC 1072 GALXY13.4
02 43 42 +01 22 00 NGC 1073 GALXY11.0
02 43 42 -14 45 00 NGC 1076 GALXY13.0
02 43 42 -16 18 00 NGC 1074 GALXY14.0
02 43 42 -16 11 00 NGC 1075 GALXY15.0
02 44 12 -09 26 00 NGC 1078 GALXY15.0
02 45 12 -04 44 00 NGC 1080 GALXY13.5
02 46 24 +03 36 00 NGC 1085 GALXY12.3
02 46 30 -00 30 00 NGC 1087 GALXY10.9
02 46 36 -00 15 00 NGC 1090 GALXY11.8
02 47 30 -00 18 00 NGC 1094 GALXY12.5
02 47 36 +04 38 00 NGC 1095 GALXY13.3
02 48 00 +03 53 00 UGC 2275 GALXY13.4
02 48 18 +04 34 00 NGC 1101 GALXY13.0
02 48 42 -00 17 00 NGC 1104 GALXY13.6
02 49 12 +02 08 00 UGC 2302 GALXY13.2
02 49 18 +08 06 00 NGC 1107 GALXY12.2
02 52 36 +06 03 00 NGC 1128 NONEX
02 54 00 +02 57 00 NGC 1137 GALXY12.4
02 55 12 -00 11 00 NGC 1144 GALXY12.9
02 55 12 -00 11 00 NGC 1143 GALXY14.0
02 55 12 +00 28 00 NGC 1141 NONEX
02 55 12 +00 28 00 NGC 1142 NONEX
02 57 24 -00 18 00 NGC 1149 GALXY14.0
02 57 36 +06 02 00 Abell 400GALCL13.9
02 58 06 +03 22 00 NGC 1153 GALXY12.4
02 59 48 +02 46 00 IC 277 GALXY13.1
03 03 48 -01 05 00 NGC 1194 GALXY12.9
03 06 54 -00 47 00 NGC 1211 GALXY12.3
03 08 24 +04 07 00 NGC 1218 GALXY12.7
03 08 30 +02 09 00 NGC 1219 GALXY13.0
03 14 06 +01 28 00 NGC 1251 2STAR
03 14 24 +02 42 00 NGC 1254 GALXY14.1
03 18 00 -00 10 00 NGC 1280 GALXY13.4
23 59 36 -18 51 00 NGC 7807 GALXY
