09 27 43 +12 17 00 A237 15.3m UGC 05044
13 15 29 +62 07 00 A238 15.0m UGC 08335
13 41 39 +55 39 59 A239 12.7m NGC 5278
13 39 53 +00 50 00 A240 12.9m NGC 5257
14 37 50 +30 28 00 A241 15.0m UGC 09425
12 46 10 +30 43 00 A242 13.0m NGC 4676A
08 38 23 +25 45 00 A243 13.4m NGC 2623
12 01 53 -18 53 00 A244 10.3m NGC 4039
09 45 42 -14 18 59 A245 12.2m NGC 2992
00 06 53 +08 20 00 A246 14.3m NGC 7838
08 23 33 +21 20 00 A247 14.7m UGC 04383
11 46 44 -03 50 00 A248 14.1m MCG-01-30-33
00 00 19 +22 59 00 A249 16.2m UGC 12891
07 35 59 +35 22 00 A250 15.0m IRASF07327+3529
00 53 46 -13 51 00 A251 15.5m VV 674
09 44 58 -19 43 00 A252 15.3m ESO 566-IG007
09 43 30 -05 16 00 A253 14.3m UGCA 174
15 21 32 -07 22 00 A254 14.5m NGC 5917
09 53 08 +07 52 00 A255 14.3m UGC 05304
00 18 50 -10 21 00 A256 13.6m MCG-02-01-52
08 51 38 -02 21 00 A257 15.0m UGC 04638
02 39 04 +18 23 00 A258 14.6m Hickson 18D
05 01 37 -04 15 00 A259 13.3m NGC 1741
12 13 38 +16 07 00 A260 14.8m UGC 07230
14 49 30 -10 10 00 A261 13.4m MCG-02-38-016
23 56 44 +16 48 00 A262 13.2m UGC 12856
10 25 05 +17 09 00 A263 11.4m NGC 3239
10 03 57 +40 45 00 A264 13.1m NGC 3104
12 53 53 +36 05 00 A265 16.0m IC 3862
12 59 01 +34 51 00 A266 12.3m NGC 4861
10 36 42 +31 32 00 A267 14.7m UGC 05764
08 19 06 +70 42 00 A268 10.7m Holmberg II
12 30 36 +41 38 00 A269 9.8 m NGC 4490
11 21 02 +53 10 00 A270 10.4m NGC 3631
14 03 25 -06 01 00 A271 11.4m NGC 5427
16 05 30 +17 46 00 A272 15.2m NGC 6054
02 21 28 +39 22 00 A273 13.7m UGC 01810
14 35 05 +05 20 00 A274 13.0m NGC 5679
09 25 54 -11 59 00 A275 13.3m NGC 2881
02 28 10 +19 35 00 A276 12.9m NGC 0935
12 54 51 +02 38 00 A277 13.0m NGC 4810
22 19 26 +29 23 00 A278 13.6m NGC 7253A
03 14 09 -02 49 00 A279 11.7m NGC 1253
11 37 44 +47 53 00 A280 11.8m NGC 3769
12 42 05 +32 32 00 A281 9.3 m NGC 4631
00 36 52 +23 59 00 A282 12.4m NGC 0169
09 17 22 +41 59 00 A283 12.3m NGC 2798
23 36 14 +02 09 00 A284 12.5m NGC 7714
09 24 02 +49 12 00 A285 13.0m NGC 2854
14 20 20 +03 55 00 A286 10.5m NGC 5566
09 02 38 +25 56 00 A287 13.3m NGC 2735
13 34 56 +13 49 00 A288 13.0m NGC 5221
11 56 07 -19 53 00 A289 11.0m NGC 3981
02 03 50 +14 44 00 A290 14.2m IC 0196
10 42 48 +13 27 00 A291 13.7m UGC 05832
09 54 33 -06 51 00 A292 13.2m IC 0575
16 58 31 +58 56 00 A293 13.3m NGC 6286
11 39 42 +31 54 00 A294 12.3m NGC 3786
23 41 47 -03 40 00 A295 14.5m MCG-01-60-021
11 28 49 +58 35 00 A296 15.7m MCG+10-17-5
14 45 19 +38 43 00 A297 13.1m NGC 5754
23 03 15 +08 52 00 A298 12.3m NGC 7469
11 28 37 +58 33 00 A299 11.3m IC 0694
11 28 33 +58 33 00 A299 11.5m NGC 3690
09 28 02 +68 25 00 A300 13.4m UGC 05029
11 09 51 +24 15 00 A301 14.5m UGC 06204
14 57 01 +24 37 00 A302 14.6m UGC 09618
09 46 21 +03 04 00 A303 14.1m IC 0564
03 11 14 -08 55 00 A304 12.0m NGC 1241
11 58 45 +27 27 00 A305 12.2m NGC 4017
01 32 41 +04 38 00 A306 14.5m UGC 01105
09 25 42 +11 25 00 A307 11.9m NGC 2872
01 25 59 -01 20 00 A308 12.2m NGC 0545
02 29 10 -10 50 00 A309 11.2m NGC 0942
17 27 26 +58 30 00 A310 15.0m IC 1259
17 27 17 +58 29 00 A311 14.4m IC 1258
16 49 48 +46 43 00 A312 14.1m MCG+08-31-004
11 57 44 +32 17 00 A313 12.4m NGC 3995
22 58 01 -03 46 00 A314 13.7m MCG-01-58-009
09 19 46 +33 44 00 A315 11.9m NGC 2832
10 18 25 +21 53 00 A316 10.9m NGC 3193
11 18 55 +13 05 00 A317 9.3 m MESSIER 65
02 09 24 -10 08 00 A318 12.1m NGC 0835
22 36 04 +33 56 00 A319 12.6m NGC 7320
11 37 53 +21 58 00 A320 13.6m NGC 3753
09 38 53 -04 51 00 A321 13.8m MCG-01-25-009
11 32 40 +52 57 00 A322 15.0m UGC 06527
23 54 10 +00 22 00 A323 13.0m NGC 7783
16 02 17 +15 58 00 A324 14.2m UGC 10143A
22 06 24 -21 04 00 A325 16.1m ESO 601- G 018
13 37 18 +06 28 00 A326 15.4m UGC 08610
05 21 45 +06 41 00 A327 13.6m NGC 1875
14 47 56 +19 01 00 A328 15.8m UGC 09532
11 32 06 +70 48 00 A329 15.9m UGC 06514
16 49 07 +53 24 59 A330 I Zw 167
01 07 24 +32 24 00 A331 11.9m NGC 0383
03 08 11 -22 55 00 A332 13.2m NGC 1228
02 39 12 +10 50 00 A333 12.1m NGC 1024
13 30 25 +31 36 59 A334 13.6m UGC 08498
11 04 23 +04 49 00 A335 12.7m NGC 3509
08 55 35 +58 44 01 A336 11.2m NGC 2685
09 55 51 +69 40 00 A337 8.4 m MESSIER 82
10 10 59 -07 54 00 A338 0 Arp 338
