Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -11.0000, AzErrorDeg,  -0.5972
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg, -10.0000, AzErrorDeg,  -0.5881
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -9.0000, AzErrorDeg,  -0.5792
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -8.0000, AzErrorDeg,  -0.5702
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -7.0000, AzErrorDeg,  -0.5614
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -6.0000, AzErrorDeg,  -0.5525
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -5.0000, AzErrorDeg,  -0.5437
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -4.0000, AzErrorDeg,  -0.5349
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -3.0000, AzErrorDeg,  -0.5262
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -2.0000, AzErrorDeg,  -0.5174
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  -1.0000, AzErrorDeg,  -0.5087
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   0.0000, AzErrorDeg,  -0.5000
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   1.0000, AzErrorDeg,  -0.4913
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   2.0000, AzErrorDeg,  -0.4825
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   3.0000, AzErrorDeg,  -0.4738
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   4.0000, AzErrorDeg,  -0.4650
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   5.0000, AzErrorDeg,  -0.4562
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   6.0000, AzErrorDeg,  -0.4474
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   7.0000, AzErrorDeg,  -0.4386
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   8.0000, AzErrorDeg,  -0.4297
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,   9.0000, AzErrorDeg,  -0.4208
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  10.0000, AzErrorDeg,  -0.4118
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  11.0000, AzErrorDeg,  -0.4028
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  12.0000, AzErrorDeg,  -0.3937
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  13.0000, AzErrorDeg,  -0.3846
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  14.0000, AzErrorDeg,  -0.3753
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  15.0000, AzErrorDeg,  -0.3660
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  16.0000, AzErrorDeg,  -0.3566
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  17.0000, AzErrorDeg,  -0.3471
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  18.0000, AzErrorDeg,  -0.3375
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  19.0000, AzErrorDeg,  -0.3278
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  20.0000, AzErrorDeg,  -0.3180
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  21.0000, AzErrorDeg,  -0.3081
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  22.0000, AzErrorDeg,  -0.2980
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  23.0000, AzErrorDeg,  -0.2878
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  24.0000, AzErrorDeg,  -0.2774
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  25.0000, AzErrorDeg,  -0.2668
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  26.0000, AzErrorDeg,  -0.2561
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  27.0000, AzErrorDeg,  -0.2452
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  28.0000, AzErrorDeg,  -0.2341
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  29.0000, AzErrorDeg,  -0.2228
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  30.0000, AzErrorDeg,  -0.2113
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  31.0000, AzErrorDeg,  -0.1996
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  32.0000, AzErrorDeg,  -0.1876
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  33.0000, AzErrorDeg,  -0.1753
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  34.0000, AzErrorDeg,  -0.1627
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  35.0000, AzErrorDeg,  -0.1499
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  36.0000, AzErrorDeg,  -0.1367
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  37.0000, AzErrorDeg,  -0.1232
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  38.0000, AzErrorDeg,  -0.1094
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  39.0000, AzErrorDeg,  -0.0951
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  40.0000, AzErrorDeg,  -0.0804
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  41.0000, AzErrorDeg,  -0.0654
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  42.0000, AzErrorDeg,  -0.0498
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  43.0000, AzErrorDeg,  -0.0337
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  44.0000, AzErrorDeg,  -0.0172
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  45.0000, AzErrorDeg,   0.0000
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  46.0000, AzErrorDeg,   0.0178
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  47.0000, AzErrorDeg,   0.0362
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  48.0000, AzErrorDeg,   0.0553
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  49.0000, AzErrorDeg,   0.0752
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  50.0000, AzErrorDeg,   0.0959
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  51.0000, AzErrorDeg,   0.1174
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  52.0000, AzErrorDeg,   0.1400
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  53.0000, AzErrorDeg,   0.1635
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  54.0000, AzErrorDeg,   0.1882
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  55.0000, AzErrorDeg,   0.2141
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  56.0000, AzErrorDeg,   0.2413
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  57.0000, AzErrorDeg,   0.2699
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  58.0000, AzErrorDeg,   0.3002
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  59.0000, AzErrorDeg,   0.3321
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  60.0000, AzErrorDeg,   0.3660
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  61.0000, AzErrorDeg,   0.4020
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  62.0000, AzErrorDeg,   0.4404
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  63.0000, AzErrorDeg,   0.4813
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  64.0000, AzErrorDeg,   0.5252
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  65.0000, AzErrorDeg,   0.5723
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  66.0000, AzErrorDeg,   0.6231
Z1Deg,   0.5000, Z2Deg,   0.0000, AltDeg,  67.0000, AzErrorDeg,   0.6780
